Portfolio Name;Ticker;Weight;Date
HIGHVOLATILITYDECILE;AMCC US Equity;0.008707252142817605;2000-01-31
HIGHVOLATILITYDECILE;ELNK US Equity;0.008745246486331374;2000-01-31
HIGHVOLATILITYDECILE;166783Q US Equity;0.008749943423899557;2000-01-31
HIGHVOLATILITYDECILE;SCHW US Equity;0.008758501903196514;2000-01-31
HIGHVOLATILITYDECILE;DVW US Equity;0.008760363214800417;2000-01-31
HIGHVOLATILITYDECILE;UIS US Equity;0.008809937768035632;2000-01-31
HIGHVOLATILITYDECILE;0941825D US Equity;0.00886373114620777;2000-01-31
HIGHVOLATILITYDECILE;TGNTQ US Equity;0.008913166879623671;2000-01-31
HIGHVOLATILITYDECILE;RMBS US Equity;0.008956172389545316;2000-01-31
HIGHVOLATILITYDECILE;1040983D US Equity;0.008996130186931104;2000-01-31
HIGHVOLATILITYDECILE;CTXS US Equity;0.00900866641036557;2000-01-31
HIGHVOLATILITYDECILE;VTIV US Equity;0.009010043595606917;2000-01-31
HIGHVOLATILITYDECILE;TWTC US Equity;0.009056524890593831;2000-01-31
HIGHVOLATILITYDECILE;VIAV US Equity;0.00912652488554082;2000-01-31
HIGHVOLATILITYDECILE;PSIXQ US Equity;0.00915731906821231;2000-01-31
HIGHVOLATILITYDECILE;SGID US Equity;0.009175082322245726;2000-01-31
HIGHVOLATILITYDECILE;1280712D US Equity;0.009183359884978499;2000-01-31
HIGHVOLATILITYDECILE;QLGC US Equity;0.009186492465250157;2000-01-31
HIGHVOLATILITYDECILE;RBAKQ US Equity;0.009261657672979824;2000-01-31
HIGHVOLATILITYDECILE;EA US Equity;0.009281958709141908;2000-01-31
HIGHVOLATILITYDECILE;XOXOQ US Equity;0.009289289590326962;2000-01-31
HIGHVOLATILITYDECILE;SFES US Equity;0.009332012385193935;2000-01-31
HIGHVOLATILITYDECILE;BMC US Equity;0.009352114520919896;2000-01-31
HIGHVOLATILITYDECILE;1519128D US Equity;0.009383110709671157;2000-01-31
HIGHVOLATILITYDECILE;OHP US Equity;0.009414026762855021;2000-01-31
HIGHVOLATILITYDECILE;ATHMQ US Equity;0.009433817104293548;2000-01-31
HIGHVOLATILITYDECILE;PTC US Equity;0.00945945672360841;2000-01-31
HIGHVOLATILITYDECILE;BRCD US Equity;0.00947458497639113;2000-01-31
HIGHVOLATILITYDECILE;BKNG US Equity;0.009479606605573792;2000-01-31
HIGHVOLATILITYDECILE;JDEC US Equity;0.009500041348482716;2000-01-31
HIGHVOLATILITYDECILE;PRGY US Equity;0.009512755327751515;2000-01-31
HIGHVOLATILITYDECILE;1581410D US Equity;0.009539702260209611;2000-01-31
HIGHVOLATILITYDECILE;338846Q US Equity;0.009582738373168758;2000-01-31
HIGHVOLATILITYDECILE;CKFR US Equity;0.009734605516303547;2000-01-31
HIGHVOLATILITYDECILE;MFNXQ US Equity;0.009744517689207621;2000-01-31
